publication_year,relationship_type,study_count
2016,Antagonistic/Biocontrol,36
2021,Mutualistic,36
2022,Mutualistic,36
1994,Endophytic,35
2017,Mycorrhizal,35
2014,Unknown/Other,34
2018,Mycorrhizal,34
2019,Mutualistic,34
1992,Endophytic,33
2010,Mycorrhizal,33
2013,Unknown/Other,33
2016,Mycorrhizal,33
2009,Mycorrhizal,32
1995,Endophytic,30
2012,Unknown/Other,30
1999,Pathogenic,29
1991,Pathogenic,28
1994,Pathogenic,27
1990,Endophytic,26
2017,Antagonistic/Biocontrol,26
2020,Mutualistic,26
2013,Mycorrhizal,25
2015,Mycorrhizal,25
1998,Pathogenic,24
2008,Unknown/Other,24
2011,Unknown/Other,24
2012,Antagonistic/Biocontrol,24
2012,Mutualistic,24
2012,Mycorrhizal,24
2014,Antagonistic/Biocontrol,24
1985,Endophytic,23
1988,Endophytic,23
1990,Pathogenic,23
1993,Pathogenic,23
1995,Pathogenic,23
2000,Pathogenic,23
2013,Antagonistic/Biocontrol,23
2015,Antagonistic/Biocontrol,23
2023,Mutualistic,23
2007,Unknown/Other,22
1982,Pathogenic,21
1986,Endophytic,21
1992,Pathogenic,21
1996,Pathogenic,21
1997,Pathogenic,21
2008,Mycorrhizal,21
2010,Unknown/Other,20
2011,Mycorrhizal,20
2009,Antagonistic/Biocontrol,19
2015,Mutualistic,19
2024,Mutualistic,19
1987,Endophytic,18
1993,Mycorrhizal,18
2002,Mycorrhizal,18
2006,Mycorrhizal,18
2013,Mutualistic,18
1983,Pathogenic,17
1997,Mycorrhizal,17
2007,Mycorrhizal,17
1984,Pathogenic,16
1996,Mycorrhizal,16
1998,Mycorrhizal,16
2005,Mycorrhizal,16
2014,Mutualistic,16
2018,Mutualistic,16
1977,Pathogenic,15
1987,Pathogenic,15
1988,Pathogenic,15
2005,Mutualistic,15
2016,Mutualistic,15
2017,Mutualistic,15
2025,Mutualistic,15
1980,Pathogenic,14
1988,Mycorrhizal,14
1989,Endophytic,14
2007,Mutualistic,14
2008,Mutualistic,14
2009,Mutualistic,14
1976,Pathogenic,13
1984,Endophytic,13
1986,Mycorrhizal,13
1986,Pathogenic,13
1990,Mycorrhizal,13
1994,Mycorrhizal,13
2001,Mycorrhizal,13
2003,Mycorrhizal,13
2006,Antagonistic/Biocontrol,13
2006,Unknown/Other,13
2011,Mutualistic,13
1985,Pathogenic,12
1989,Mycorrhizal,12
2004,Mycorrhizal,12
2010,Antagonistic/Biocontrol,12
1985,Mycorrhizal,11
1992,Mycorrhizal,11
2000,Mycorrhizal,11
2002,Unknown/Other,11
2011,Antagonistic/Biocontrol,11
1979,Pathogenic,10
1987,Mycorrhizal,10
1989,Pathogenic,10
2008,Antagonistic/Biocontrol,10
1981,Pathogenic,9
1982,Mycorrhizal,9
1991,Mycorrhizal,9
1993,Unknown/Other,9
1995,Mycorrhizal,9
1999,Unknown/Other,9
2009,Unknown/Other,9
2010,Mutualistic,9
1971,Pathogenic,8
1972,Pathogenic,8
1973,Pathogenic,8
1979,Mycorrhizal,8
1982,Endophytic,8
1999,Mycorrhizal,8
2004,Unknown/Other,8
1975,Pathogenic,7
1981,Mycorrhizal,7
1983,Mycorrhizal,7
1994,Unknown/Other,7
2001,Mutualistic,7
2005,Antagonistic/Biocontrol,7
2007,Antagonistic/Biocontrol,7
1967,Pathogenic,6
1974,Pathogenic,6
1979,Endophytic,6
1981,Endophytic,6
1983,Endophytic,6
1984,Mycorrhizal,6
2004,Antagonistic/Biocontrol,6
2004,Mutualistic,6
2006,Mutualistic,6
1977,Mycorrhizal,5
1978,Pathogenic,5
1980,Endophytic,5
1991,Unknown/Other,5
1995,Mutualistic,5
1996,Unknown/Other,5
1997,Mutualistic,5
1998,Unknown/Other,5
2000,Unknown/Other,5
2002,Mutualistic,5
2003,Mutualistic,5
2003,Unknown/Other,5
2005,Unknown/Other,5
1966,Pathogenic,4
1968,Pathogenic,4
1973,Unknown/Other,4
1975,Mycorrhizal,4
1980,Mycorrhizal,4
1987,Unknown/Other,4
1995,Unknown/Other,4
1996,Mutualistic,4
2001,Unknown/Other,4
1950,Pathogenic,3
1953,Pathogenic,3
1965,Unknown/Other,3
1969,Pathogenic,3
1978,Endophytic,3
1979,Unknown/Other,3
1983,Unknown/Other,3
1988,Mutualistic,3
1997,Unknown/Other,3
1998,Antagonistic/Biocontrol,3
1998,Mutualistic,3
1999,Antagonistic/Biocontrol,3
2001,Antagonistic/Biocontrol,3
2002,Antagonistic/Biocontrol,3
2026,Pathogenic,3
1948,Unknown/Other,2
1951,Endophytic,2
1951,Pathogenic,2
1958,Pathogenic,2
1959,Endophytic,2
1963,Unknown/Other,2
1964,Pathogenic,2
1966,Unknown/Other,2
1970,Mycorrhizal,2
1970,Unknown/Other,2
1974,Antagonistic/Biocontrol,2
1974,Endophytic,2
1974,Mycorrhizal,2
1974,Unknown/Other,2
1975,Endophytic,2
1976,Mycorrhizal,2
1977,Endophytic,2
1977,Unknown/Other,2
1978,Mycorrhizal,2
1982,Mutualistic,2
1982,Unknown/Other,2
1984,Unknown/Other,2
1986,Unknown/Other,2
1990,Unknown/Other,2
1992,Antagonistic/Biocontrol,2
1992,Mutualistic,2
1993,Mutualistic,2
1995,Antagonistic/Biocontrol,2
1996,Antagonistic/Biocontrol,2
2012,Saprotrophic,2
2016,Saprotrophic,2
2021,Saprotrophic,2
1926,Mycorrhizal,1
1927,Endophytic,1
1928,Antagonistic/Biocontrol,1
1929,Endophytic,1
1930,Mycorrhizal,1
1931,Endophytic,1
1932,Endophytic,1
1933,Endophytic,1
1938,Pathogenic,1
1945,Pathogenic,1
1946,Unknown/Other,1
1948,Pathogenic,1
1949,Unknown/Other,1
1950,Unknown/Other,1
1952,Mycorrhizal,1
1953,Endophytic,1
1953,Unknown/Other,1
1955,Pathogenic,1
1955,Unknown/Other,1
1958,Endophytic,1
1958,Mycorrhizal,1
1959,Antagonistic/Biocontrol,1
1959,Pathogenic,1
1961,Endophytic,1
1964,Endophytic,1
1964,Mycorrhizal,1
1967,Mycorrhizal,1
1967,Unknown/Other,1
1969,Endophytic,1
1969,Mycorrhizal,1
1969,Unknown/Other,1
1970,Endophytic,1
1970,Mutualistic,1
1970,Pathogenic,1
1971,Antagonistic/Biocontrol,1
1971,Endophytic,1
1972,Antagonistic/Biocontrol,1
1972,Mycorrhizal,1
1972,Unknown/Other,1
1973,Endophytic,1
1975,Antagonistic/Biocontrol,1
1975,Unknown/Other,1
1976,Mutualistic,1
1976,Unknown/Other,1
1979,Mutualistic,1
1980,Mutualistic,1
1980,Unknown/Other,1
1981,Mutualistic,1
1981,Unknown/Other,1
1984,Antagonistic/Biocontrol,1
1984,Mutualistic,1
1985,Unknown/Other,1
1986,Antagonistic/Biocontrol,1
1988,Antagonistic/Biocontrol,1
1988,Unknown/Other,1
1989,Mutualistic,1
1989,Unknown/Other,1
1990,Antagonistic/Biocontrol,1
1990,Mutualistic,1
1991,Antagonistic/Biocontrol,1
1991,Mutualistic,1
1994,Antagonistic/Biocontrol,1
1994,Mutualistic,1
1995,Saprotrophic,1
1997,Antagonistic/Biocontrol,1
1997,Commensal,1
1999,Mutualistic,1
2000,Antagonistic/Biocontrol,1
2000,Mutualistic,1
2001,Saprotrophic,1
2002,Saprotrophic,1
2011,Commensal,1
2011,Saprotrophic,1
2015,Saprotrophic,1
2018,Absence/Negative,1
2020,Commensal,1
2026,Endophytic,1
2026,Unknown/Other,1
